sep=;
time;model_id;model_name;port_name;data
0;1;(19,19);;<0>
0;2;(18,19);;<0>
0;3;(17,19);;<0>
0;4;(15,19);;<0>
0;5;(14,19);;<0>
0;6;(6,19);;<0>
0;7;(5,19);;<0>
0;8;(2,19);;<0>
0;9;(0,19);;<0>
0;10;(19,18);;<0>
0;11;(14,18);;<0>
0;12;(12,18);;<0>
0;13;(11,18);;<0>
0;14;(8,18);;<0>
0;15;(6,18);;<0>
0;16;(4,18);;<0>
0;17;(3,18);;<0>
0;18;(2,18);;<0>
0;19;(18,17);;<0>
0;20;(17,17);;<0>
0;21;(15,17);;<0>
0;22;(14,17);;<0>
0;23;(11,17);;<0>
0;24;(10,17);;<0>
0;25;(5,17);;<0>
0;26;(3,17);;<0>
0;27;(2,17);;<0>
0;28;(0,17);;<0>
0;29;(19,16);;<0>
0;30;(18,16);;<0>
0;31;(17,16);;<0>
0;32;(12,16);;<0>
0;33;(5,16);;<0>
0;34;(4,16);;<0>
0;35;(1,16);;<0>
0;36;(0,16);;<0>
0;37;(19,15);;<0>
0;38;(16,15);;<0>
0;39;(14,15);;<0>
0;40;(13,15);;<0>
0;41;(9,15);;<0>
0;42;(6,15);;<0>
0;43;(5,15);;<0>
0;44;(4,15);;<0>
0;45;(2,15);;<0>
0;46;(1,15);;<0>
0;47;(12,14);;<0>
0;48;(11,14);;<0>
0;49;(10,14);;<0>
0;50;(9,14);;<0>
0;51;(6,14);;<0>
0;52;(5,14);;<0>
0;53;(4,14);;<0>
0;54;(3,14);;<0>
0;55;(8,15);;<0>
0;56;(2,14);;<0>
0;57;(8,17);;<0>
0;58;(18,13);;<0>
0;59;(16,13);;<0>
0;60;(15,13);;<0>
0;61;(14,13);;<0>
0;62;(13,13);;<0>
0;63;(12,13);;<0>
0;64;(11,13);;<0>
0;65;(9,13);;<0>
0;66;(8,13);;<0>
0;67;(5,13);;<0>
0;68;(0,15);;<0>
0;69;(4,13);;<0>
0;70;(3,13);;<0>
0;71;(2,13);;<0>
0;72;(1,13);;<0>
0;73;(19,12);;<0>
0;74;(18,12);;<0>
0;75;(17,12);;<0>
0;76;(16,12);;<0>
0;77;(15,12);;<0>
0;78;(13,12);;<0>
0;79;(12,12);;<0>
0;80;(10,5);;<0>
0;81;(8,16);;<0>
0;82;(5,4);;<0>
0;83;(4,12);;<0>
0;84;(18,14);;<0>
0;85;(1,12);;<0>
0;86;(18,3);;<0>
0;87;(9,10);;<0>
0;88;(2,8);;<0>
0;89;(19,4);;<0>
0;90;(6,4);;<0>
0;91;(18,4);;<0>
0;92;(9,18);;<0>
0;93;(1,18);;<0>
0;94;(10,9);;<0>
0;95;(16,4);;<0>
0;96;(8,2);;<0>
0;97;(4,4);;<0>
0;98;(0,5);;<0>
0;99;(11,19);;<0>
0;100;(14,7);;<0>
0;101;(3,4);;<0>
0;102;(1,4);;<0>
0;103;(3,12);;<0>
0;104;(16,17);;<0>
0;105;(19,3);;<0>
0;106;(13,6);;<0>
0;107;(1,1);;<0>
0;108;(4,19);;<0>
0;109;(13,3);;<0>
0;110;(17,10);;<0>
0;111;(9,3);;<0>
0;112;(6,3);;<0>
0;113;(17,3);;<0>
0;114;(0,10);;<0>
0;115;(16,14);;<0>
0;116;(2,3);;<0>
0;117;(11,3);;<0>
0;118;(1,3);;<0>
0;119;(6,13);;<0>
0;120;(0,3);;<0>
0;121;(0,1);;<0>
0;122;(3,7);;<0>
0;123;(3,3);;<0>
0;124;(0,11);;<0>
0;125;(2,5);;<0>
0;126;(18,9);;<0>
0;127;(18,2);;<0>
0;128;(7,4);;<3>
0;129;(6,0);;<0>
0;130;(16,2);;<0>
0;131;(1,6);;<0>
0;132;(18,8);;<0>
0;133;(12,6);;<0>
0;134;(8,5);;<0>
0;135;(14,16);;<0>
0;136;(6,7);;<0>
0;137;(9,0);;<0>
0;138;(14,3);;<0>
0;139;(17,6);;<0>
0;140;(11,2);;<0>
0;141;(16,19);;<0>
0;142;(13,2);;<0>
0;143;(4,17);;<0>
0;144;(12,15);;<0>
0;145;(6,2);;<0>
0;146;(3,15);;<0>
0;147;(5,2);;<0>
0;148;(3,1);;<0>
0;149;(17,11);;<0>
0;150;(10,18);;<0>
0;151;(4,2);;<0>
0;152;(15,4);;<0>
0;153;(1,19);;<0>
0;154;(15,15);;<0>
0;155;(4,1);;<0>
0;156;(19,17);;<0>
0;157;(2,2);;<0>
0;158;(3,8);;<0>
0;159;(7,17);;<3>
0;160;(18,15);;<0>
0;161;(12,11);;<0>
0;162;(17,13);;<0>
0;163;(14,12);;<0>
0;164;(4,0);;<0>
0;165;(1,2);;<0>
0;166;(0,14);;<0>
0;167;(13,9);;<0>
0;168;(14,10);;<0>
0;169;(5,3);;<0>
0;170;(0,0);;<0>
0;171;(11,0);;<0>
0;172;(7,1);;<2>
0;173;(4,5);;<0>
0;174;(13,5);;<0>
0;175;(9,5);;<0>
0;176;(12,0);;<0>
0;177;(10,19);;<0>
0;178;(6,6);;<0>
0;179;(13,19);;<0>
0;180;(3,16);;<0>
0;181;(0,13);;<0>
0;182;(19,2);;<0>
0;183;(10,0);;<0>
0;184;(7,0);;<0>
0;185;(14,14);;<0>
0;186;(7,15);;<3>
0;187;(19,7);;<0>
0;188;(9,16);;<0>
0;189;(7,18);;<3>
0;190;(4,7);;<0>
0;191;(7,5);;<3>
0;192;(6,5);;<0>
0;193;(16,9);;<0>
0;194;(15,3);;<0>
0;195;(9,17);;<0>
0;196;(19,1);;<0>
0;197;(10,3);;<0>
0;198;(7,16);;<3>
0;199;(10,13);;<0>
0;200;(9,4);;<0>
0;201;(7,11);;<3>
0;202;(1,11);;<0>
0;203;(1,0);;<0>
0;204;(8,7);;<0>
0;205;(7,19);;<0>
0;206;(7,6);;<3>
0;207;(8,9);;<3>
0;208;(10,11);;<0>
0;209;(8,0);;<0>
0;210;(5,0);;<0>
0;211;(1,9);;<0>
0;212;(7,8);;<3>
0;213;(2,16);;<0>
0;214;(12,3);;<0>
0;215;(3,5);;<0>
0;216;(3,0);;<0>
0;217;(9,19);;<0>
0;218;(8,19);;<0>
0;219;(14,8);;<0>
0;220;(15,18);;<0>
0;221;(7,7);;<3>
0;222;(11,16);;<0>
0;223;(4,3);;<0>
0;224;(5,1);;<0>
0;225;(11,7);;<0>
0;226;(7,13);;<3>
0;227;(12,8);;<0>
0;228;(7,2);;<1>
0;229;(12,17);;<0>
0;230;(8,1);;<0>
0;231;(15,14);;<0>
0;232;(7,10);;<3>
0;233;(17,4);;<0>
0;234;(1,17);;<0>
0;235;(2,4);;<0>
0;236;(5,5);;<0>
0;237;(8,3);;<0>
0;238;(6,8);;<3>
0;239;(13,4);;<0>
0;240;(9,2);;<0>
0;241;(3,2);;<0>
0;242;(0,2);;<0>
0;243;(10,1);;<0>
0;244;(15,6);;<0>
0;245;(11,6);;<0>
0;246;(15,11);;<0>
0;247;(7,3);;<3>
0;248;(11,15);;<0>
0;249;(13,14);;<0>
0;250;(5,12);;<0>
0;251;(15,0);;<0>
0;252;(16,16);;<0>
0;253;(2,11);;<0>
0;254;(17,0);;<0>
0;255;(8,8);;<3>
0;256;(14,1);;<0>
0;257;(13,18);;<0>
0;258;(7,14);;<3>
0;259;(16,7);;<0>
0;260;(18,0);;<0>
0;261;(3,11);;<0>
0;262;(2,1);;<0>
0;263;(15,1);;<0>
0;264;(6,16);;<0>
0;265;(16,1);;<0>
0;266;(17,1);;<0>
0;267;(15,16);;<0>
0;268;(6,1);;<0>
0;269;(9,9);;<0>
0;270;(6,17);;<0>
0;271;(19,14);;<0>
0;272;(14,4);;<0>
0;273;(14,2);;<0>
0;274;(13,8);;<0>
0;275;(0,18);;<0>
0;276;(9,1);;<0>
0;277;(0,12);;<0>
0;278;(19,10);;<0>
0;279;(16,0);;<0>
0;280;(14,0);;<0>
0;281;(12,1);;<0>
0;282;(7,12);;<3>
0;283;(13,10);;<0>
0;284;(10,2);;<0>
0;285;(18,1);;<0>
0;286;(2,7);;<0>
0;287;(12,9);;<0>
0;288;(11,4);;<0>
0;289;(14,9);;<0>
0;290;(12,5);;<0>
0;291;(10,16);;<0>
0;292;(2,0);;<0>
0;293;(14,5);;<0>
0;294;(12,2);;<0>
0;295;(13,0);;<0>
0;296;(11,1);;<0>
0;297;(3,6);;<0>
0;298;(19,13);;<0>
0;299;(15,5);;<0>
0;300;(16,5);;<0>
0;301;(18,7);;<0>
0;302;(17,5);;<0>
0;303;(18,5);;<0>
0;304;(19,5);;<0>
0;305;(11,11);;<0>
0;306;(2,6);;<0>
0;307;(8,6);;<0>
0;308;(10,15);;<0>
0;309;(9,6);;<0>
0;310;(17,18);;<0>
0;311;(19,0);;<0>
0;312;(10,6);;<0>
0;313;(14,6);;<0>
0;314;(8,12);;<0>
0;315;(16,6);;<0>
0;316;(18,6);;<0>
0;317;(17,2);;<0>
0;318;(0,7);;<0>
0;319;(15,8);;<0>
0;320;(1,7);;<0>
0;321;(8,14);;<0>
0;322;(5,7);;<0>
0;323;(12,4);;<0>
0;324;(9,7);;<0>
0;325;(10,7);;<0>
0;326;(12,7);;<0>
0;327;(13,7);;<0>
0;328;(13,16);;<0>
0;329;(15,7);;<0>
0;330;(17,14);;<0>
0;331;(17,7);;<0>
0;332;(1,8);;<0>
0;333;(9,8);;<0>
0;334;(10,4);;<0>
0;335;(0,8);;<0>
0;336;(3,19);;<0>
0;337;(4,8);;<0>
0;338;(5,8);;<0>
0;339;(0,6);;<0>
0;340;(19,6);;<0>
0;341;(10,8);;<0>
0;342;(16,18);;<0>
0;343;(6,9);;<3>
0;344;(11,8);;<0>
0;345;(17,15);;<0>
0;346;(17,8);;<0>
0;347;(11,10);;<0>
0;348;(16,3);;<0>
0;349;(11,9);;<0>
0;350;(19,8);;<0>
0;351;(15,2);;<0>
0;352;(6,12);;<0>
0;353;(4,11);;<0>
0;354;(0,9);;<0>
0;355;(8,11);;<0>
0;356;(2,9);;<0>
0;357;(3,9);;<0>
0;358;(4,9);;<0>
0;359;(5,9);;<0>
0;360;(4,10);;<0>
0;361;(8,4);;<0>
0;362;(7,9);;<0>
0;363;(5,18);;<0>
0;364;(15,9);;<0>
0;365;(17,9);;<0>
0;366;(19,9);;<0>
0;367;(1,10);;<0>
0;368;(13,17);;<0>
0;369;(1,14);;<0>
0;370;(2,10);;<0>
0;371;(3,10);;<0>
0;372;(5,10);;<0>
0;373;(6,10);;<0>
0;374;(19,11);;<0>
0;375;(8,10);;<0>
0;376;(9,11);;<0>
0;377;(10,10);;<0>
0;378;(12,10);;<0>
0;379;(18,18);;<0>
0;380;(15,10);;<0>
0;381;(16,10);;<0>
0;382;(0,4);;<0>
0;383;(2,12);;<0>
0;384;(12,19);;<0>
0;385;(18,10);;<0>
0;386;(9,12);;<0>
0;387;(5,11);;<0>
0;388;(16,11);;<0>
0;389;(11,5);;<0>
0;390;(4,6);;<0>
0;391;(6,11);;<0>
0;392;(11,12);;<0>
0;393;(13,11);;<0>
0;394;(1,5);;<0>
0;395;(5,6);;<0>
0;396;(14,11);;<0>
0;397;(18,11);;<0>
0;398;(13,1);;<0>
0;399;(16,8);;<0>
0;400;(10,12);;<0>
0;1;(19,19);outputNeighborhood;<0>
0;1;(19,19);;<0>
0;2;(18,19);outputNeighborhood;<0>
0;2;(18,19);;<0>
0;3;(17,19);outputNeighborhood;<0>
0;3;(17,19);;<0>
0;4;(15,19);outputNeighborhood;<0>
0;4;(15,19);;<0>
0;5;(14,19);outputNeighborhood;<0>
0;5;(14,19);;<0>
0;6;(6,19);outputNeighborhood;<0>
0;6;(6,19);;<0>
0;7;(5,19);outputNeighborhood;<0>
0;7;(5,19);;<0>
0;8;(2,19);outputNeighborhood;<0>
0;8;(2,19);;<0>
0;9;(0,19);outputNeighborhood;<0>
0;9;(0,19);;<0>
0;10;(19,18);outputNeighborhood;<0>
0;10;(19,18);;<0>
0;11;(14,18);outputNeighborhood;<0>
0;11;(14,18);;<0>
0;12;(12,18);outputNeighborhood;<0>
0;12;(12,18);;<0>
0;13;(11,18);outputNeighborhood;<0>
0;13;(11,18);;<0>
0;14;(8,18);outputNeighborhood;<0>
0;14;(8,18);;<0>
0;15;(6,18);outputNeighborhood;<0>
0;15;(6,18);;<0>
0;16;(4,18);outputNeighborhood;<0>
0;16;(4,18);;<0>
0;17;(3,18);outputNeighborhood;<0>
0;17;(3,18);;<0>
0;18;(2,18);outputNeighborhood;<0>
0;18;(2,18);;<0>
0;19;(18,17);outputNeighborhood;<0>
0;19;(18,17);;<0>
0;20;(17,17);outputNeighborhood;<0>
0;20;(17,17);;<0>
0;21;(15,17);outputNeighborhood;<0>
0;21;(15,17);;<0>
0;22;(14,17);outputNeighborhood;<0>
0;22;(14,17);;<0>
0;23;(11,17);outputNeighborhood;<0>
0;23;(11,17);;<0>
0;24;(10,17);outputNeighborhood;<0>
0;24;(10,17);;<0>
0;25;(5,17);outputNeighborhood;<0>
0;25;(5,17);;<0>
0;26;(3,17);outputNeighborhood;<0>
0;26;(3,17);;<0>
0;27;(2,17);outputNeighborhood;<0>
0;27;(2,17);;<0>
0;28;(0,17);outputNeighborhood;<0>
0;28;(0,17);;<0>
0;29;(19,16);outputNeighborhood;<0>
0;29;(19,16);;<0>
0;30;(18,16);outputNeighborhood;<0>
0;30;(18,16);;<0>
0;31;(17,16);outputNeighborhood;<0>
0;31;(17,16);;<0>
0;32;(12,16);outputNeighborhood;<0>
0;32;(12,16);;<0>
0;33;(5,16);outputNeighborhood;<0>
0;33;(5,16);;<0>
0;34;(4,16);outputNeighborhood;<0>
0;34;(4,16);;<0>
0;35;(1,16);outputNeighborhood;<0>
0;35;(1,16);;<0>
0;36;(0,16);outputNeighborhood;<0>
0;36;(0,16);;<0>
0;37;(19,15);outputNeighborhood;<0>
0;37;(19,15);;<0>
0;38;(16,15);outputNeighborhood;<0>
0;38;(16,15);;<0>
0;39;(14,15);outputNeighborhood;<0>
0;39;(14,15);;<0>
0;40;(13,15);outputNeighborhood;<0>
0;40;(13,15);;<0>
0;41;(9,15);outputNeighborhood;<0>
0;41;(9,15);;<0>
0;42;(6,15);outputNeighborhood;<0>
0;42;(6,15);;<0>
0;43;(5,15);outputNeighborhood;<0>
0;43;(5,15);;<0>
0;44;(4,15);outputNeighborhood;<0>
0;44;(4,15);;<0>
0;45;(2,15);outputNeighborhood;<0>
0;45;(2,15);;<0>
0;46;(1,15);outputNeighborhood;<0>
0;46;(1,15);;<0>
0;47;(12,14);outputNeighborhood;<0>
0;47;(12,14);;<0>
0;48;(11,14);outputNeighborhood;<0>
0;48;(11,14);;<0>
0;49;(10,14);outputNeighborhood;<0>
0;49;(10,14);;<0>
0;50;(9,14);outputNeighborhood;<0>
0;50;(9,14);;<0>
0;51;(6,14);outputNeighborhood;<0>
0;51;(6,14);;<0>
0;52;(5,14);outputNeighborhood;<0>
0;52;(5,14);;<0>
0;53;(4,14);outputNeighborhood;<0>
0;53;(4,14);;<0>
0;54;(3,14);outputNeighborhood;<0>
0;54;(3,14);;<0>
0;55;(8,15);outputNeighborhood;<0>
0;55;(8,15);;<0>
0;56;(2,14);outputNeighborhood;<0>
0;56;(2,14);;<0>
0;57;(8,17);outputNeighborhood;<0>
0;57;(8,17);;<0>
0;58;(18,13);outputNeighborhood;<0>
0;58;(18,13);;<0>
0;59;(16,13);outputNeighborhood;<0>
0;59;(16,13);;<0>
0;60;(15,13);outputNeighborhood;<0>
0;60;(15,13);;<0>
0;61;(14,13);outputNeighborhood;<0>
0;61;(14,13);;<0>
0;62;(13,13);outputNeighborhood;<0>
0;62;(13,13);;<0>
0;63;(12,13);outputNeighborhood;<0>
0;63;(12,13);;<0>
0;64;(11,13);outputNeighborhood;<0>
0;64;(11,13);;<0>
0;65;(9,13);outputNeighborhood;<0>
0;65;(9,13);;<0>
0;66;(8,13);outputNeighborhood;<0>
0;66;(8,13);;<0>
0;67;(5,13);outputNeighborhood;<0>
0;67;(5,13);;<0>
0;68;(0,15);outputNeighborhood;<0>
0;68;(0,15);;<0>
0;69;(4,13);outputNeighborhood;<0>
0;69;(4,13);;<0>
0;70;(3,13);outputNeighborhood;<0>
0;70;(3,13);;<0>
0;71;(2,13);outputNeighborhood;<0>
0;71;(2,13);;<0>
0;72;(1,13);outputNeighborhood;<0>
0;72;(1,13);;<0>
0;73;(19,12);outputNeighborhood;<0>
0;73;(19,12);;<0>
0;74;(18,12);outputNeighborhood;<0>
0;74;(18,12);;<0>
0;75;(17,12);outputNeighborhood;<0>
0;75;(17,12);;<0>
0;76;(16,12);outputNeighborhood;<0>
0;76;(16,12);;<0>
0;77;(15,12);outputNeighborhood;<0>
0;77;(15,12);;<0>
0;78;(13,12);outputNeighborhood;<0>
0;78;(13,12);;<0>
